Alarm Code,Unit,Level,Description,Type
62,0,1,F062 Load glass T5 timeout.,6
63,0,1,F063 Load glass T6 timeout.,6
64,0,1,F064 Unload glass T1 timeout.,6
65,0,1,F065 Unload glass T2 timeout.,6
66,0,1,F066 Unload glass T3 timeout.,6
67,0,1,F067 Unload glass T4 timeout.,6
68,0,1,F068 Unload glass T5 timeout.,6
69,0,1,F069 Unload glass T6 timeout.,6
70,0,1,F070 Exchange glass T1 timeout.,6
71,0,1,F071 Exchange glass T2 timeout.,6
72,0,1,F072 Exchange glass T3 timeout.,6
73,0,1,F073 Exchange glass T4 timeout.,6
74,0,1,F074 Exchange glass T5 timeout.,6
75,0,1,F075 Exchange glass T6 timeout.,6
76,0,1,F076 EPPID Change T1 timeout.,6
77,0,1,F077 EPPID Change T2 timeout.,6
78,0,1,F078 EPPID Change T3 timeout.,6
79,0,1,F079 EPPID Check T1 timeout.,6
80,0,1,F080 EPPID Check T2 timeout.,6
81,0,1,F081 EPPID Check T3 timeout.,6
82,0,1,F082 Glass Erase T1 timeout.,6
83,0,1,F083 Glass Erase T2 timeout.,6
84,0,1,F084 Glass Erase T3 timeout.,6
85,0,1,F085 Transfer Reset T1 timeout.,6
86,0,1,F086 Transfer Reset T2 timeout.,6
87,0,1,F087 Transfer Reset T3 timeout.,6
88,0,1,F088,6
89,0,2,F089 Robot Busy Signal ON.,1
90,0,1,F090 Robot Single Arm.,6
91,0,2,F091 Robot Connection Lost,2
92,0,1,F092 Transfer Reset from Robot,6
93,0,1,F093 Net/H Abnormal,6
94,0,1,F094,6
95,0,1,F095,6
96,0,2,F096 Robot Interlock OFF.,1
97,0,2,F097 Loader Arm Exist in Stage,1
98,0,2,F098 Loading Glass Lost.,2
99,0,2,"F099 It loses sight of glass, or glass deviates.",2
100,0,2,"F100 Reference side X1, clamp up-down sensor abnormality.",2
101,0,2,"F101 Reference side X1, clamp up-down timeout.",2
102,0,2,"F102 Reference side X1, clamp-unclamp sensor abnormality.",2
103,0,2,"F103 Reference side X1, clamp-unclamp timeout.",2
104,0,2,"F104 Reference side X2, clamp up-down sensor abnormality.",2
105,0,2,"F105 Reference side X2, clamp up-down timeout.",2
106,0,2,"F106 Reference side X2, clamp-unclamp sensor abnormality.",2
107,0,2,"F107 Reference side X2, clamp-unclamp timeout.",2
108,0,2,"F108 Reference side Y, clamp up-down sensor abnormality.",2
109,0,2,"F109 Reference side Y, clamp up-down move timeout.",2
110,0,2,"F110 Reference side Y, clamp-unclamp sensor abnormality.",2
111,0,2,"F111 Reference side Y, clamp-unclamp move timeout.",2
112,0,1,F112,6
113,0,1,F113,6
114,0,1,F114,6
115,0,1,F115,6
116,0,2,"F116 Push side X, clamp up-down sensor abnormality.",2
117,0,2,"F117 Push side X, clamp up-down move timeout.",2
118,0,2,"F118 Push side X, clamp-unclamp sensor abnormality.",2
119,0,2,"F119 Push side X, clamp-unclamp move timeout.",2
120,0,1,F120,6
121,0,1,F121,6
122,0,1,F122,6
123,0,1,F123,6
124,0,2,"F124 Push side Y, clamp up-down sensor abnormality.",2
125,0,2,"F125 Push side Y, clamp up-down move timeout.",2
126,0,2,"F126 Push side Y, clamp-unclamp sensor abnormality.",2
127,0,2,"F127 Push side Y, clamp-unclamp move timeout.",2
128,0,1,F128,6
129,0,1,F129,6
130,0,1,F130,6
131,0,1,F131,6
132,0,1,F132,6
133,0,1,F133,6
134,0,1,F134,6
135,0,1,F135,6
136,0,1,F136,6
137,0,1,F137,6
138,0,1,F138,6
139,0,1,F139,6
140,0,1,F140,6
141,0,1,F141,6
142,0,1,F142,6
143,0,1,F143,6
144,0,1,F144,6
145,0,1,F145,6
146,0,1,F146,6
147,0,1,F147,6
148,0,1,F148,6
149,0,1,F149,6
150,0,2,F150 Side corner vacuum abnormality.,2
151,0,2,F151 Center vacuum A abnormality.,2
152,0,2,F152 Center vacuum B abnormality.,2
153,0,2,F150 Side middle vacuum abnormality.,2
154,0,2,F154 The air blow flowing quantity is abnormal of a central table.,2
155,0,1,F155,6
156,0,1,F156,6
157,0,1,F157,6
158,0,1,F158,6
159,0,1,F159,6
160,0,1,F160 ,6
161,0,1,F161 ,6
162,0,1,F162,6
163,0,1,F163,6
164,0,1,F164,6
165,0,1,F165,6
166,0,1,F166,6
167,0,1,F167,6
168,0,1,F168,6
169,0,1,F169,6
170,0,2,F170 LED UV unit ERROR signal ON.,2
171,0,1,F171 LED UV unit ALARM signal ON.,6
172,0,1,F172 LED UV unit READY signal OFF.,6
173,0,2,F173 LED UV unit BUSY signal OFF.,2
174,0,2,F174 The ink stage up-down sensor abnormality.,2
175,0,2,F175 The ink stage up-down move timeout.,2
176,0,1,F176,6
177,0,1,F177,6
178,0,2,F178 The ink cap up-down sensor abnormality.,2
179,0,2,F179 The ink cap up-down move timeout.,2
180,0,1,F180,6
181,0,1,F181,6
182,0,2,F182 The ink camera up-down sensor abnormality.,2
183,0,2,F183 The ink camera up-down move timeout.,2
184,0,1,F184,6
185,0,1,F185,6
186,0,2,F186 The ink door was opened.,1
187,0,1,F187,6
188,0,1,F188,6
189,0,1,F189,6
190,0,1,F190,6
191,0,1,F191,6
192,0,1,F192,6
193,0,1,F193,6
194,0,1,F194,6
195,0,1,F195,6
196,0,1,F196,6
197,0,1,F197,6
198,0,1,F198,6
199,0,1,F199,6
200,0,1,F200 Repair tape was cut off.,6
201,0,1,F201 Repair tape end.,6
202,0,1,F202,6
203,0,1,F203,6
204,0,2,F204 Repair head up timeout.,2
205,0,1,F205 The air pressure is abnormal 1 for grinding. ,6
206,0,1,F206,6
207,0,1,F207,6
208,0,1,F208,6
209,0,1,F209,6
210,0,2,F210 U-Board RUN signal OFF.,2
211,0,1,F211 U-Board re-start signal ON.,6
212,0,1,F212 Repair tape stop error.,6
213,0,1,F213 The grinding data writing/reading timeout.,6
214,0,1,F214 Repair operation timeout.,6
215,0,1,F215 Repair operation NG.,6
216,0,1,F216 Tape remainder amount setting abnormality.,6
217,0,1,F217 Tape remainder amount reset is abnormal.,6
218,0,1,F218 Tape rewinding operation timeout.,6
219,0,1,F219 Tape rewinding operation NG.,6
220,0,1,F220 Repair tape loose.,6
221,0,1,F221 Inposition timeout.,6
222,0,1,F222 U-Board version reading timeout.,6
223,0,1,F223,6
224,0,1,F224,6
225,0,1,F225 ,6
226,0,1,F226 ,6
227,0,1,F227 ,6
228,0,1,F228 ,6
229,0,1,F229,6
230,0,1,F230 ,6
231,0,1,F231 ,6
232,0,1,F232 ,6
233,0,1,F233 ,6
234,0,1,F234 ,6
235,0,1,F235 ,6
236,0,1,F236 ,6
237,0,1,F237 ,6
238,0,1,F238,6
239,0,1,F239,6
240,0,1,F240,6
241,0,1,F241,6
242,0,1,F242 ,6
243,0,1,F243 ,6
244,0,1,F244,6
245,0,1,F245,6
246,0,1,F246 ,6
247,0,1,F247,6
248,0,1,F248,6
249,0,1,F249,6
250,0,2,F250 Stage X axis motor abnormality.,2
251,0,1,F251 Stage X axis motor warning.,6
252,0,2,F252 Stage Y axis motor abnormality.,2
253,0,1,F253 Stage Y axis motor warning.,6
254,0,2,F254 The ink stage axis motor abnormality.,2
255,0,1,F255 The ink stage axis motor warning.,6
256,0,2,F256 Table S axis motor abnormality.,2
257,0,1,F257 Table S axis motor warning.,6
258,0,2,F258 The ink head axis motor abnormality.,2
259,0,1,F259 The ink head axis motor warning.,6
260,0,2,F260 Mirror switching motor abnormality.,2
261,0,1,F261 Mirror switching motor warning.,6
262,0,2,F262 Object lens Y axis motor abnormality.,2
263,0,1,F263 Object lens Y axis motor warning.,6
264,0,2,F264 Object lens X axis motor abnormality.,2
265,0,1,F265 Object lens X axis motor warning.,6
266,0,2,F266 Laser motor abnormality.,2
267,0,1,F267 Laser motor warning.,6
268,0,2,F268 Light control motor abnormality.,2
269,0,1,F269 Light control motor warning.,6
270,0,2,F270 Object lens Y axis motor driver alarm.,2
271,0,2,F271 Object lens X axis motor driver alarm.,2
272,0,1,F272 ,6
273,0,1,F273 ,6
274,0,1,F274,6
275,0,2,F275 The ink head axis motor driver alarm.,2
276,0,2,F276 Table S axis servo pack abnormality.,2
277,0,1,F277,6
278,0,2,F278 Stage X axis servo pack abnormality.,2
279,0,2,F279 Stage Y1 axis servo pack abnormality.,2
280,0,2,F280 Stage X axis CCW limit sensor ON.,2
281,0,2,F281 Stage X axis CW limit sensor ON.,2
282,0,2,F282 Stage Y axis CCW limit sensor ON.,2
283,0,2,F283 Stage Y axis CW limit sensor ON.,2
284,0,2,F284 Stage Y2 axis servo pack abnormality.,2
285,0,1,F285 ,6
286,0,2,F286 Table S axis CCW limit sensor ON.,2
287,0,2,F287 Table S axis CW limit sensor ON.,2
288,0,2,F288 The ink head axis CCW limit sensor ON.,2
289,0,2,F289 The ink head axis CW limit sensor ON.,2
290,0,1,F290,6
291,0,1,F291,6
292,0,1,F292,6
293,0,1,F293,6
294,0,1,F294,6
295,0,1,F295,6
296,0,2,F296 Laser CCW limit sensor ON.,2
297,0,2,F297 Laser CW limit sensor ON.,2
298,0,1,F298,6
299,0,1,F299,6
300,0,1,F300,6
301,0,1,F301,6
302,0,1,F302,6
303,0,1,F303,6
304,0,1,F304,6
305,0,1,F305,6
306,0,1,F306,6
307,0,1,F307,6
308,0,1,F308,6
309,0,1,F309,6
310,0,2,F310 An error code was received from PC.,2
311,0,1,F311,6
312,0,1,F312,6
313,0,1,F313,6
314,0,1,F314,6
315,0,1,F315,6
316,0,1,F316,6
317,0,1,F317,6
318,0,1,F318,6
319,0,1,F319,6
320,0,1,F320,6
321,0,1,F321,6
322,0,1,F322,6
323,0,1,F323,6
324,0,1,F324,6
325,0,1,F325,6
326,0,1,F326,6
327,0,1,F327,6
328,0,1,F328,6
329,0,1,F329,6
330,0,2,F330 Stage XY axis movement timeout.,2
331,0,2,"F331 Stage X axis, initialization hasn't been carried out.",2
332,0,2,"F332 Stage Y axis, initialization hasn't been carried out.",2
333,0,2,"F333 Stage X axis is LD position, but ORG sensor is OFF.",2
334,0,2,"F334 Stage Y axis is LD position, but ORG sensor is OFF.",2
335,0,2,F335 The ink stage axis movement timeout.,2
336,0,2,"F336 The ink stage axis motor, initialization hasn't been carried out.",2
337,0,1,"F337 The ink stage positioning unit, data writing abnormality.",6
338,0,1,"F338 The ink stage positioning unit, parameter reading abnormality.",6
339,0,1,F339,6
340,0,2,F340 Table S axis movement timeout.,2
341,0,2,"F341 Table S axis motor, initialization hasn't been carried out.",2
342,0,2,"F342 Table S axis is LD position, but ORG sensor is OFF.",2
343,0,1,F343,6
344,0,1,F344,6
345,0,2,F345 The ink head axis movement timeout.,2
346,0,2,"F346 The ink head axis motor, initialization hasn't been carried out.",2
347,0,1,"F347 The ink head positioning unit, data writing abnormality.",6
348,0,1,"F348 The ink head positioning unit, parameter reading abnormality.",6
349,0,1,F349,6
350,0,2,F350 Mirror switching movement timeout.,2
351,0,2,"F351 Mirror switching motor, initialization hasn't been carried out.",2
352,0,1,"F352 Mirror positioning unit, data writing abnormality.",6
353,0,1,"F353 Mirror positioning unit, parameter reading abnormality.",6
354,0,1,F354,6
355,0,2,F355 Object lens movement timeout.,2
356,0,2,F356 The object lens starting point return unexecution.,2
357,0,1,F357 ,6
358,0,1,"F358 Object lens X axis positioning unit, data writing abnormality.",6
359,0,1,"F359 Object lens Y axis positioning unit, data writing abnormality.",6
360,0,2,F360 Laser movement timeout.,2
361,0,2,"F361 Laser motor, initialization hasn't been carried out.",2
362,0,1,"F362 Laser positioning unit, data writing abnormality.",6
363,0,1,"F363 Laser positioning unit, parameter reading abnormality.",6
364,0,1,F364,6
365,0,2,F365 Light control movement timeout.,2
366,0,2,"F366 Light control motor, initialization hasn't been carried out.",2
367,0,1,"F367 Light control positioning unit, data writing abnormality.",6
368,0,1,"F368 Light control positioning unit, parameter reading abnormality.",6
369,0,1,F369,6
370,0,1,F370 ,6
371,0,1,F371 ,6
372,0,1,F372 ,6
373,0,1,F373,6
374,0,1,F374,6
375,0,1,"F375 Object lens X axis positioning unit, parameter reading abnormality.",6
376,0,1,"F376 Object lens Y axis positioning unit, parameter reading abnormality.",6
377,0,2,F377 Object lens driver's END signal was not turned on.,2
378,0,1,F378,6
379,0,1,F379,6
380,0,2,F380 The origin return of the stage X axis hasn't been carried out. (Manual),2
381,0,2,F381 The origin return of the stage X axis hasn't been carried out. (Manual),2
382,0,2,F382 The LD(ORG) position sensor of stage X axis turns it off. (Manual),2
383,0,2,F383 The LD(ORG) position sensor of stage Y axis turns it off. (Manual),2
384,0,2,F384 The stage XY axis is not in the LD position coordinate. (Manual),2
385,0,2,F385 The stage XY axis is not in the LD position coordinate. (automatic operation),2
386,0,1,F386,6
387,0,1,F387,6
388,0,2,F388 The origin return of the table S axis hasn't been carried out. (Manual),2
389,0,2,F389 The LD(ORG) position sensor of table S axis turns it off. (Manual),2
390,0,2,F390 The table S axis is not in the LD position coordinate. (Manual),2
391,0,2,F391 The table S axis is not in the LD position coordinate. (automatic operation),2
392,0,1,F392,6
393,0,2,F393 Loader arm detection (Manual),2
394,0,2,F394 The center air blow off (Manual),2
395,0,2,F395 The center vacuum on (Manual),2
396,0,2,F396 The glass is not fixed. (Manual),2
397,0,2,F397 The lower limit sensor of Z axis turned it on.,2
398,0,2,"F398 The ink head axis motor, initialization hasn't been carried out. (Manual)",2
399,0,2,F399 The ink head axis is not origin position. (Manual),2
400,0,2,F400 The mirror number is abnormal the change ahead.,2
401,0,2,F401 The mirror starting point return unexecution.,2
402,0,2,F402 The equipment starting point return demand signal ON.,2
403,0,2,F403 The equipment starting point return demand signal ON.,2
404,0,2,F404 The object lens number is abnormal the change ahead.,2
405,0,1,F405 ,6
406,0,2,F406 The object lens starting point return demand signal ON.,2
407,0,2,F407 Other command signals ON.,2
408,0,2,F408 The grinding command code is abnormal.,2
409,0,2,F409 Outside grinding position range.,2
410,0,2,F410 The ink repair needle number is abnormal the change ahead.,2
411,0,2,F411 Not on-line (Auto) mode.,2
412,0,2,F412 Not on-line (Auto) mode.,2
413,0,2,F413 U-Board RUN signal OFF.,2
414,0,1,F414 ,6
415,0,2,"F415 Now VLSI aria, repair NG.",2
416,0,2,"F416 Now laser power meter aria, repair NG.",2
417,0,2,F417 Outside stage XY moving destination range.,2
418,0,2,F418 Outside table S moving destination range.,2
419,0,1,F419 ,6
420,0,1,F420 ,6
421,0,2,F421 Stage XY not glass loading position.,2
422,0,2,F422 Table S not glass loading position.,2
423,0,2,F423 Object lens not glass loading position.,2
424,0,2,F424 The glass none in equipment.,2
425,0,2,F425 Dust blow #2 request signal ON.,2
426,0,2,F426 Z axis touch sensor ON.,2
427,0,1,F427 ,6
428,0,1,F428 ,6
429,0,1,F429 ,6
430,0,2,F430 Object lens switch request signal ON.,2
431,0,2,F431 The laser correction value is abnormal.,2
432,0,2,F432 Laser unused setting ON.,2
433,0,2,F433 Daily check area number is abnormal.,2
434,0,2,F434 Outside center vacuum ON possible range.,2
435,0,2,F435 AF Laser ON-OFF parameter is abnormal.,2
436,0,2,F436 Mirror switch request signal ON.,2
437,0,2,F437 Stage move request signal ON.,2
438,0,2,F438 Grinding request signal ON.,2
439,0,2,F439 Laser AF OFF is being processed.,2
440,0,2,"F440 The ink stage axis motor, initialization hasn't been carried out. (Manual)",2
441,0,1,F441,6
442,0,1,F442,6
443,0,1,F443,6
444,0,1,F444,6
445,0,1,F445,6
446,0,1,F446,6
447,0,1,F447,6
448,0,1,F448,6
449,0,1,F449,6
450,0,1,F450,6
451,0,1,F451,6
452,0,1,F452,6
453,0,1,F453,6
454,0,1,F454,6
455,0,1,F455,6
456,0,1,F456,6
457,0,1,F457,6
458,0,1,F458,6
459,0,1,F459,6
460,0,1,F460,6
461,0,1,F461,6
462,0,1,F462,6
463,0,1,F463,6
464,0,1,F464,6
465,0,1,F465,6
466,0,1,F466,6
467,0,1,F467,6
468,0,1,F468,6
469,0,1,F469,6
470,0,1,F470,6
471,0,1,F471,6
472,0,1,F472,6
473,0,1,F473,6
474,0,1,F474,6
475,0,1,F475,6
476,0,1,F476,6
477,0,1,F477,6
478,0,1,F478,6
479,0,1,F479,6
480,0,1,F480,6
481,0,1,F481,6
482,0,1,F482,6
483,0,1,F483,6
484,0,1,F484,6
485,0,1,F485,6
486,0,1,F486,6
487,0,1,F487,6
488,0,1,F488,6
489,0,1,F489,6
490,0,1,F490,6
491,0,1,F491,6
492,0,1,F492,6
493,0,1,F493,6
494,0,1,F494,6
495,0,1,F495,6
496,0,1,F496,6
497,0,1,F497,6
498,0,1,F498,6
499,0,1,F499,6
500,0,1,F500 ,6
